	index	sentence	origin	lang	Criteria i	Criteria ii	Criteria iii	Criteria iv	Criteria v	Criteria vi	Criteria vii	Criteria viii	Criteria ix	Criteria x	Others	max_1_val	max_1_col	max_2_val	max_2_col	max_3_val	max_3_col	max_1	max_3
0	0	It has tags of adriaticsea, italy, venice, bridge, water	3	en	0.03370541334152222	0.3004797697067261	0.3580295145511627	0.1721707284450531	0.025327563285827637	0.0982271209359169	0.002783580683171749	0.0020344010554254055	0.0034839750733226538	0.003724436042830348	3.347484380356036e-05	0.3580295145511627	Criteria iii	0.3004797697067261	Criteria ii	0.1721707284450531	Criteria iv	0.3580295145511627	0.8306800127029419
1	1	It has tags of adriaticsea, italy, venice	4	en	0.06487737596035004	0.20333880186080933	0.3997543752193451	0.15612348914146423	0.022062325850129128	0.12842294573783875	0.007169381715357304	0.004896379541605711	0.006185375619679689	0.007107604760676622	6.191829015733674e-05	0.3997543752193451	Criteria iii	0.20333880186080933	Criteria ii	0.15612348914146423	Criteria iv	0.3997543752193451	0.7592166662216187
2	2	It has tags of adriaticsea, italy, venice, water	5	en	0.039327964186668396	0.30437642335891724	0.34554821252822876	0.16457395255565643	0.026383448392152786	0.10606219619512558	0.0032343962229788303	0.0021858392283320427	0.003941492643207312	0.0043317051604390144	3.435077451285906e-05	0.34554821252822876	Criteria iii	0.30437642335891724	Criteria ii	0.16457395255565643	Criteria iv	0.34554821252822876	0.8144985884428024
3	3	THE KNIGHT WITH A GRIM LOOK   The Carnival of Venice, if not the most grandiose, is certainly the best known for the charm it exerts and the mystery it continues to possess even now that 900 years have passed since the first document that refers to this famous festival	6	en	0.1433166265487671	0.0675484910607338	0.3485012948513031	0.2060127705335617	0.02409997582435608	0.16101428866386414	0.02510976977646351	0.014005579054355621	0.004332482814788818	0.005646067671477795	0.00041267529013566673	0.3485012948513031	Criteria iii	0.2060127705335617	Criteria iv	0.16101428866386414	Criteria vi	0.3485012948513031	0.7155283540487289
4	4	Who has never heard of it	6	en	0.012330841273069382	0.02857733517885208	0.1415794938802719	0.024645749479532242	0.009571081958711147	0.7744152545928955	0.0041077337227761745	0.0006396168028004467	0.0006256235064938664	0.002714744536206126	0.0007924824603833258	0.7744152545928955	Criteria vi	0.1415794938802719	Criteria iii	0.02857733517885208	Criteria ii	0.7744152545928955	0.9445720836520195
5	5	There are memories of the Carnival festivities since 1094, under the dogate of Vitale Falier, in a document that speaks of public entertainment in the days preceding Lent	6	en	0.02635667659342289	0.02917153760790825	0.43626368045806885	0.07773827016353607	0.020219050347805023	0.40340155363082886	0.003562571946531534	0.0013973162276670337	0.0007772198296152055	0.0010023982031270862	0.00010971683514071628	0.43626368045806885	Criteria iii	0.40340155363082886	Criteria vi	0.07773827016353607	Criteria iv	0.43626368045806885	0.9174035042524338
6	6	The official document that declares Carnival a public holiday dates back to 1296 when the Senate of the Republic declared the last day of Lent a holiday	6	en	0.026891542598605156	0.043339140713214874	0.383280485868454	0.29208022356033325	0.019257616251707077	0.22110320627689362	0.0028458277229219675	0.004590875003486872	0.002667841501533985	0.0037958102766424417	0.00014746960368938744	0.383280485868454	Criteria iii	0.29208022356033325	Criteria iv	0.22110320627689362	Criteria vi	0.383280485868454	0.8964639157056808
7	9	EN | ES   🇬🇧 It's almost time for the Venice Carnival	18	en	0.1849731057882309	0.11749904602766037	0.12594598531723022	0.1436813622713089	0.008174515329301357	0.33019548654556274	0.015570522285997868	0.05340553820133209	0.009590595960617065	0.010040516033768654	0.0009233720484189689	0.33019548654556274	Criteria vi	0.1849731057882309	Criteria i	0.1436813622713089	Criteria iv	0.33019548654556274	0.6588499546051025
8	10	Living it was amazing, one of those experiences that you should have at least once in your life	18	en	0.23917992413043976	0.13158062100410461	0.1036190316081047	0.0697895884513855	0.039276186376810074	0.2949867844581604	0.08053739368915558	0.01036450918763876	0.007602956611663103	0.020561648532748222	0.00250127911567688	0.2949867844581604	Criteria vi	0.23917992413043976	Criteria i	0.13158062100410461	Criteria ii	0.2949867844581604	0.6657473295927048
9	11	Here you can see all the info about the trip I made in 2020 (in Spanish):   🇪🇸 Ya falta poco para el Carnaval de Venecia	18	en	0.250834584236145	0.13170509040355682	0.22011561691761017	0.22017288208007812	0.010192109271883965	0.14995844662189484	0.005762217100709677	0.005282322410494089	0.0021119951270520687	0.003448113799095154	0.00041669231723062694	0.250834584236145	Criteria i	0.22017288208007812	Criteria iv	0.22011561691761017	Criteria iii	0.250834584236145	0.6911230832338333
10	12	It has tags of elph, canon, italy, venice, shadow, portico, arch, tonemap	46	en	0.05603577196598053	0.13778777420520782	0.4627763032913208	0.16271762549877167	0.03111598826944828	0.12332969158887863	0.009111298248171806	0.006498721428215504	0.006052571814507246	0.004521218128502369	5.312034045346081e-05	0.4627763032913208	Criteria iii	0.16271762549877167	Criteria iv	0.13778777420520782	Criteria ii	0.4627763032913208	0.7632817029953003
