	index	text_bool	Criteria i	Criteria ii	Criteria iii	Criteria iv	Criteria v	Criteria vi	Criteria vii	Criteria viii	Criteria ix	Criteria x	Others	max_1_val	max_1_col	max_2_val	max_2_col	max_3_val	max_3_col	max_1	max_3	conf_3	conf_1	same_3	same_1	labelled
0	51870743082	True	0.0709534766707611	0.331433699853363	0.22932808477558136	0.24440358422252656	0.016660425642913798	0.08926667546795845	0.00233840284158585	0.0017677643277127	0.0026830284866613	0.0026440351714151497	0.00852081542190178	0.331433699853363	Criteria ii	0.24440358422252656	Criteria iv	0.22932808477558136	Criteria iii	0.331433699853363	0.805165368851471	0.808952836351471	0.36020857227558134	0.5	False	True
1	51871789478	True	0.12630560298017499	0.42099845093040467	0.22264388960967255	0.1139115320707321	0.01260145487506455	0.07943879286891935	0.00477841995767865	0.00369551892080285	0.0043097568098398	0.0047174758803383	0.006599100145078669	0.42099845093040467	Criteria ii	0.22264388960967255	Criteria iii	0.12630560298017499	Criteria i	0.42099845093040467	0.7699479435202522	0.8286540831108093	0.5192062376096725	0.5	False	True
2	51870742942	True	0.15402566709333415	0.3503643266794586	0.22197863826411435	0.1561715462778282	0.01640487394607635	0.07928168959756275	0.0033813828114894	0.002527627264166	0.0033119363716036503	0.0036587876802195	0.008893486887256429	0.3503643266794586	Criteria ii	0.22197863826411435	Criteria iii	0.1561715462778282	Criteria iv	0.3503643266794586	0.7285145112214011	0.8136716692214012	0.37095022126411437	0.5	False	True
3	51870380541	True	0.03593340406795595	0.024208006037754998	0.27924714790512084	0.10683629479522319	0.021644408959573702	0.5120167298828124	0.0047868442424949	0.00290072522543125	0.00249481021750805	0.0031920617463288	0.0067395149622298004	0.5120167298828124	Criteria vi	0.27924714790512084	Criteria iii	0.10683629479522319	Criteria iv	0.5120167298828124	0.8981001725831564	0.8981001590831565	0.6474422379051208	1.0	False	True
4	51863124066	True	0.23469848273498534	0.11993051695895385	0.0943884681758308	0.2739730517457962	0.01844406618653255	0.24036697092943188	0.0035016829039436	0.00195526406022225	0.0020854158002997	0.0023302416503869503	0.008325847826541149	0.2739730517457962	Criteria iv	0.24036697092943188	Criteria vi	0.23469848273498534	Criteria i	0.2739730517457962	0.7490385054102136	0.7719021044397354	0.2927262017457962	0.5	False	True
5	51860573333	True	0.2326415986997747	0.1882120458517742	0.22194591100765226	0.19894112134613035	0.032154380748495096	0.1022134831005287	0.0044349136491539	0.0033046746350664496	0.0031137922406232	0.00328183884722975	0.009756178937261176	0.2326415986997747	Criteria i	0.22194591100765226	Criteria iii	0.19894112134613035	Criteria iv	0.2326415986997747	0.6535286310535573	0.8150196079543114	0.4002804910076523	0.2	False	False
6	51861144440	True	0.16494780916301485	0.1630154672442913	0.22665539804206847	0.16953647020122525	0.06246172609418105	0.15973297378196716	0.01198140846742295	0.00707238957324135	0.0114331768026818	0.0123797878019962	0.01078333998397655	0.22665539804206847	Criteria iii	0.16953647020122525	Criteria iv	0.16494780916301485	Criteria i	0.22665539804206847	0.5611396774063085	0.712422112025261	0.3502771430420685	0.2	False	False
7	51859439546	True	0.17127372680289454	0.1095701272194023	0.09870950375583645	0.1281500116537857	0.0150955513334746	0.4327579290704727	0.01321757526643905	0.006553546496391149	0.00622640606790715	0.0079500707282689	0.010495536570164499	0.4327579290704727	Criteria vi	0.17127372680289454	Criteria i	0.1281500116537857	Criteria iv	0.4327579290704727	0.732181667527153	0.7348880266760827	0.46563680480289454	0.5	False	False
8	51858312666	True	0.0817433932692852	0.11119891712346075	0.4027531606007766	0.15908521407302856	0.0141200323114612	0.18636343275640868	0.01252628212101265	0.009174853563201999	0.00385099463839855	0.0078282474922373	0.0113554842499309	0.4027531606007766	Criteria iii	0.18636343275640868	Criteria vi	0.15908521407302856	Criteria iv	0.4027531606007766	0.7482018074302138	0.812977788430214	0.44432386875640867	0.5	False	True
9	51857714343	True	0.0759941319383049	0.18043276150598525	0.22520345979652406	0.27510032579479216	0.0138217504625802	0.20638557881555553	0.004289904854033751	0.0031170930392333497	0.0027952953049874	0.0032951551388926	0.0095644916522939	0.27510032579479216	Criteria iv	0.22520345979652406	Criteria iii	0.20638557881555553	Criteria vi	0.27510032579479216	0.7066893644068717	0.7266173894068718	0.33438320979652403	0.5	False	False
