	origin	index	candownload	url_c	url_q	url_n	url_largest	owner	owner_loc	title	description	comments	taken	views	people	tags	lat	lon	neighbourhood	url	local	tag_list	tag_len	NOT	year	time	week	unique_week	Chinese	English	Other_Lang	num_sent	revised_text	text_data	text_len	Criteria i	Criteria ii	Criteria iii	Criteria iv	Criteria v	Criteria vi	Criteria vii	Criteria viii	Criteria ix	Criteria x	Others	max_1_val	max_1_col	max_2_val	max_2_col	max_3_val	max_3_col	max_1	max_3	valid	max_1_col_agg	max_2_col_agg	max_3_col_agg	max_1_eq	max_3_eq
0	8	51859675789	1.0	https://live.staticflickr.com/65535/51859675789_2abb735954_c.jpg	https://live.staticflickr.com/65535/51859675789_2abb735954_q.jpg	https://live.staticflickr.com/65535/51859675789_2abb735954_n.jpg	https://live.staticflickr.com/65535/51859675789_0dc586ec53_o.jpg	57210421@N04	Beijing, China	灭渡桥	                               	0.0	2022-02-03 13:33:40	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51859675789/	True	[]	0	False	2022	2022-02-03 13:33:40	5	202205	1.0	0.0	0.0	1.0	It has title of Extinction Bridge	                               . It has title of 灭渡桥. It has tags of 	6.0	0.03661638870835304	0.006713004782795906	0.0330297127366066	0.016526514664292336	0.0021975187119096518	0.03886547312140465	0.19109731912612915	0.293536514043808	0.05875677987933159	0.3144168555736542	0.008243769407272339	0.3144168555736542	Criteria x	0.293536514043808	Criteria viii	0.19109731912612915	Criteria vii	0.3144168555736542	0.7990506887435913	True	Criteria x	Criteria viii	Criteria vii	True	1.0
1	9	51859339946	1.0	https://live.staticflickr.com/65535/51859339946_9ca193472a_c.jpg	https://live.staticflickr.com/65535/51859339946_9ca193472a_q.jpg	https://live.staticflickr.com/65535/51859339946_9ca193472a_n.jpg	https://live.staticflickr.com/65535/51859339946_cf01cf0229_o.jpg	57210421@N04	Beijing, China	灭渡桥	                               	0.0	2022-02-03 13:34:07	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51859339946/	True	[]	0	False	2022	2022-02-03 13:34:07	5	202205					It has title of Extinction Bridge	                               . It has title of 灭渡桥. It has tags of 		0.03661638870835304	0.006713004782795906	0.0330297127366066	0.016526514664292336	0.0021975187119096518	0.03886547312140465	0.19109731912612915	0.293536514043808	0.05875677987933159	0.3144168555736542	0.008243769407272339	0.3144168555736542	Criteria x	0.293536514043808	Criteria viii	0.19109731912612915	Criteria vii	0.3144168555736542	0.7990506887435913	True					
2	10	51858385807	1.0	https://live.staticflickr.com/65535/51858385807_aeeb29b536_c.jpg	https://live.staticflickr.com/65535/51858385807_aeeb29b536_q.jpg	https://live.staticflickr.com/65535/51858385807_aeeb29b536_n.jpg	https://live.staticflickr.com/65535/51858385807_bf38fd6ae9_o.jpg	57210421@N04	Beijing, China	灭渡桥	                               	0.0	2022-02-03 13:34:18	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51858385807/	True	[]	0	False	2022	2022-02-03 13:34:18	5	202205					It has title of Extinction Bridge	                               . It has title of 灭渡桥. It has tags of 		0.03661638870835304	0.006713004782795906	0.0330297127366066	0.016526514664292336	0.0021975187119096518	0.03886547312140465	0.19109731912612915	0.293536514043808	0.05875677987933159	0.3144168555736542	0.008243769407272339	0.3144168555736542	Criteria x	0.293536514043808	Criteria viii	0.19109731912612915	Criteria vii	0.3144168555736542	0.7990506887435913	True					
3	11	51859339546	1.0	https://live.staticflickr.com/65535/51859339546_74e167d9a0_c.jpg	https://live.staticflickr.com/65535/51859339546_74e167d9a0_q.jpg	https://live.staticflickr.com/65535/51859339546_74e167d9a0_n.jpg	https://live.staticflickr.com/65535/51859339546_10dd36c744_o.jpg	57210421@N04	Beijing, China	灭渡桥	                               	0.0	2022-02-03 13:34:52	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51859339546/	True	[]	0	False	2022	2022-02-03 13:34:52	5	202205					It has title of Extinction Bridge	                               . It has title of 灭渡桥. It has tags of 		0.03661638870835304	0.006713004782795906	0.0330297127366066	0.016526514664292336	0.0021975187119096518	0.03886547312140465	0.19109731912612915	0.293536514043808	0.05875677987933159	0.3144168555736542	0.008243769407272339	0.3144168555736542	Criteria x	0.293536514043808	Criteria viii	0.19109731912612915	Criteria vii	0.3144168555736542	0.7990506887435913	True					
4	12	51858385377	1.0	https://live.staticflickr.com/65535/51858385377_9aef1c02a6_c.jpg	https://live.staticflickr.com/65535/51858385377_9aef1c02a6_q.jpg	https://live.staticflickr.com/65535/51858385377_9aef1c02a6_n.jpg	https://live.staticflickr.com/65535/51858385377_a46f863401_o.jpg	57210421@N04	Beijing, China	灭渡桥	                               	0.0	2022-02-03 13:38:02	2.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51858385377/	True	[]	0	False	2022	2022-02-03 13:38:02	5	202205					It has title of Extinction Bridge	                               . It has title of 灭渡桥. It has tags of 		0.03661638870835304	0.006713004782795906	0.0330297127366066	0.016526514664292336	0.0021975187119096518	0.03886547312140465	0.19109731912612915	0.293536514043808	0.05875677987933159	0.3144168555736542	0.008243769407272339	0.3144168555736542	Criteria x	0.293536514043808	Criteria viii	0.19109731912612915	Criteria vii	0.3144168555736542	0.7990506887435913	True					
5	13	51858385192	1.0	https://live.staticflickr.com/65535/51858385192_36a8f0f113_c.jpg	https://live.staticflickr.com/65535/51858385192_36a8f0f113_q.jpg	https://live.staticflickr.com/65535/51858385192_36a8f0f113_n.jpg	https://live.staticflickr.com/65535/51858385192_411b10b2a5_o.jpg	57210421@N04	Beijing, China	下津桥	                               	0.0	2022-02-03 14:24:46	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51858385192/	True	[]	0	False	2022	2022-02-03 14:24:46	5	202205	1.0	0.0	0.0	1.0	It has title of Shimotsu Bridge	                               . It has title of 下津桥. It has tags of 	6.0	0.17954282462596893	0.06432494521141052	0.26165011525154114	0.13820531964302063	0.00987909734249115	0.201400488615036	0.05366845801472664	0.049119241535663605	0.014843525364995003	0.026548802852630615	0.0008172928937710822	0.26165011525154114	Criteria iii	0.201400488615036	Criteria vi	0.17954282462596893	Criteria i	0.26165011525154114	0.6425934284925461	True	Criteria iii	Criteria vi	Criteria i	True	1.0
6	14	51860000170	1.0	https://live.staticflickr.com/65535/51860000170_2dceb0d16c_c.jpg	https://live.staticflickr.com/65535/51860000170_2dceb0d16c_q.jpg	https://live.staticflickr.com/65535/51860000170_2dceb0d16c_n.jpg	https://live.staticflickr.com/65535/51860000170_7f1d24742c_o.jpg	57210421@N04	Beijing, China	下津桥	                               	0.0	2022-02-03 14:25:14	0.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51860000170/	True	[]	0	False	2022	2022-02-03 14:25:14	5	202205					It has title of Shimotsu Bridge	                               . It has title of 下津桥. It has tags of 		0.17954282462596893	0.06432494521141052	0.26165011525154114	0.13820531964302063	0.00987909734249115	0.201400488615036	0.05366845801472664	0.049119241535663605	0.014843525364995003	0.026548802852630615	0.0008172928937710822	0.26165011525154114	Criteria iii	0.201400488615036	Criteria vi	0.17954282462596893	Criteria i	0.26165011525154114	0.6425934284925461	True					
7	15	51859999785	1.0	https://live.staticflickr.com/65535/51859999785_ba7f1ef3a1_c.jpg	https://live.staticflickr.com/65535/51859999785_ba7f1ef3a1_q.jpg	https://live.staticflickr.com/65535/51859999785_ba7f1ef3a1_n.jpg	https://live.staticflickr.com/65535/51859999785_a04daec251_o.jpg	57210421@N04	Beijing, China	下津桥	                               	0.0	2022-02-03 14:40:13	1.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51859999785/	True	[]	0	False	2022	2022-02-03 14:40:13	5	202205					It has title of Shimotsu Bridge	                               . It has title of 下津桥. It has tags of 		0.17954282462596893	0.06432494521141052	0.26165011525154114	0.13820531964302063	0.00987909734249115	0.201400488615036	0.05366845801472664	0.049119241535663605	0.014843525364995003	0.026548802852630615	0.0008172928937710822	0.26165011525154114	Criteria iii	0.201400488615036	Criteria vi	0.17954282462596893	Criteria i	0.26165011525154114	0.6425934284925461	True					
8	16	51858384372	1.0	https://live.staticflickr.com/65535/51858384372_6d280af9ae_c.jpg	https://live.staticflickr.com/65535/51858384372_6d280af9ae_q.jpg	https://live.staticflickr.com/65535/51858384372_6d280af9ae_n.jpg	https://live.staticflickr.com/65535/51858384372_3e689dbe9c_o.jpg	57210421@N04	Beijing, China	上津桥	                               	0.0	2022-02-03 14:41:14	1.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51858384372/	True	[]	0	False	2022	2022-02-03 14:41:14	5	202205	1.0	0.0	0.0	1.0	It has title of Shangjin Bridge	                               . It has title of 上津桥. It has tags of 	6.0	0.17954282462596893	0.06432494521141052	0.26165011525154114	0.13820531964302063	0.00987909734249115	0.201400488615036	0.05366845801472664	0.049119241535663605	0.014843525364995003	0.026548802852630615	0.0008172928937710822	0.26165011525154114	Criteria iii	0.201400488615036	Criteria vi	0.17954282462596893	Criteria i	0.26165011525154114	0.6425934284925461	True	Criteria iii	Criteria vi	Criteria i	True	1.0
9	17	51859338071	1.0	https://live.staticflickr.com/65535/51859338071_4956354a1d_c.jpg	https://live.staticflickr.com/65535/51859338071_4956354a1d_q.jpg	https://live.staticflickr.com/65535/51859338071_4956354a1d_n.jpg	https://live.staticflickr.com/65535/51859338071_a002758838_o.jpg	57210421@N04	Beijing, China	上津桥	                               	0.0	2022-02-03 14:41:36	2.0	0.0	[]	31.290855	120.641824		https://www.flickr.com/photos/wishingbone/51859338071/	True	[]	0	False	2022	2022-02-03 14:41:36	5	202205					It has title of Shangjin Bridge	                               . It has title of 上津桥. It has tags of 		0.17954282462596893	0.06432494521141052	0.26165011525154114	0.13820531964302063	0.00987909734249115	0.201400488615036	0.05366845801472664	0.049119241535663605	0.014843525364995003	0.026548802852630615	0.0008172928937710822	0.26165011525154114	Criteria iii	0.201400488615036	Criteria vi	0.17954282462596893	Criteria i	0.26165011525154114	0.6425934284925461	True					
